% Device,CC1349003
% File name,CC1349003_20170828_182816
% Cast time (UTC),2017-08-28 18:28:16
% Cast time (local),2017-08-28 18:28:16
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.1586803
% Start longitude,-66.4288777
% Start altitude,-19.979999542236328
% Start GPS horizontal error(Meter),1.5199999809265137
% Start GPS vertical error(Meter),2.7200000286102295
% Start GPS number of satellites,8
% End latitude,44.1595299
% End longitude,-66.4293573
% End altitude,-14.890000343322754
% End GPS horizontal error(Meter),2.0399999618530273
% End GPS vertical error(Meter),3.8399999141693115
% End GPS number of satellites,9
% Cast duration (Seconds),171.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14934975063944472,12.258359909057617,37219.41796875,49947.740667594247,32.0777706852133,1494.2229412516449,1024.2733714451365
0.44999999999999996,0.44805573037000279,12.260435954257359,37212.089888453025,49935.124127554911,32.068844722871546,1494.224353893381,1024.2674114005217
0.74999999999999989,0.74675744274004707,12.231258998822943,37207.426539209322,49967.994018662685,32.089251544251105,1494.1538272735352,1024.290064968234
1.05,1.0454539611153462,12.12442294405751,37101.417004221112,49969.015087627,32.078950588362673,1493.7805190268657,1024.303422769802
1.35,1.3441448231189987,12.052443113953467,37052.121307323112,49999.565741684877,32.093217677321512,1493.5553482893397,1024.329249287799
1.65,1.6428304057502345,12.026618693577813,37035.384360378746,50011.836979867752,32.099176201267113,1493.4786307969671,1024.3400222544112
1.9500000000000002,1.9415154079738557,12.071400238696709,37076.2469560069,50006.53700329498,32.099912928110129,1493.6383522978656,1024.3336197869014
2.25,2.2402017283976825,12.09024243846129,37093.073467870112,50003.816407257946,32.099794540649548,1493.7078572619864,1024.3313703443851
2.55,2.5388895127055289,12.067845702724162,37055.906421966974,49983.89536735836,32.083133667249548,1493.6160143083389,1024.323968771806
2.85,2.8375771006847605,12.038313658554914,37032.753994606996,49992.494712368432,32.086091487946547,1493.5230012982822,1024.3331064919596
3.15,3.1362619195241335,12.020577420529122,37024.543780899388,50005.356967187749,32.093308741535594,1493.4755723141652,1024.3433516146615
3.4499999999999997,3.434941949631972,12.001706012943062,37032.067881534618,50041.027660428605,32.11668586115335,1493.4435024875777,1024.3663425758373
3.75,3.73362305969602,11.98702558814114,36973.56724962224,49981.806676388682,32.0727573159512,1493.3454836014387,1024.3363337432045
4.05,4.0323027797097559,11.919433033811204,36948.225550207935,50038.9937141916,32.106364908989796,1493.1576945068148,1024.376267077882
4.35,4.3309757819550576,11.894479207161407,36926.86900595553,50043.895183629313,32.107108634069974,1493.0774601998064,1024.3828022105624
4.6499999999999995,4.629645652523326,11.872821548879287,36920.99090546053,50065.3182405873,32.119982713676549,1493.0230470719675,1024.39813878564
4.9499999999999993,4.9283120647089724,11.85050031642781,36905.622211998983,50074.79124448495,32.124251851959365,1492.9560213686384,1024.4069153505061
5.2499999999999991,5.2269775977239963,11.840992132765324,36890.008340594286,50066.524006264975,32.11721953784977,1492.9197145067451,1024.4045593034368
5.55,5.5256418684931443,11.810673469804668,36869.06271538193,50079.310210970682,32.122990195148411,1492.8267757707476,1024.4159638696797
5.85,5.824303062547286,11.794642572557386,36862.60051656374,50092.347607226169,32.130455897352618,1492.7852121671924,1024.4260551492819
6.1499999999999995,6.12296233744047,11.782951933280167,36852.260398718456,50094.212755903885,32.130412294231263,1492.7496631129168,1024.4295190833816
6.4499999999999993,6.4216193613007446,11.775094575872215,36858.099028574368,50112.854166195146,32.1427455627215,1492.7421716234389,1024.4418873804293
6.7499999999999991,6.7202767565450721,11.7620306916851,36822.315344324321,50081.993093832076,32.1192065809465,1492.6737434002109,1024.4273608971082
7.0499999999999989,7.01893410585912,11.746026184808891,36822.7116149056,50104.345201452583,32.133307570706705,1492.6401443579157,1024.4425920625067
7.35,7.3175876877377153,11.7272382187043,36814.336489247609,50118.574489626277,32.141310529210969,1492.5895878026918,1024.4535963508147
7.6499999999999995,7.6162392018071934,11.714527425274259,36802.994274246405,50120.479351330621,32.141174272051543,1492.5503240702178,1024.4571677694667
7.9499999999999993,7.9148882396243376,11.698432438186448,36801.386249000338,50140.270038764334,32.153426080387383,1492.514142023095,1024.4709745823927
8.25,8.213534875509211,11.689186056336768,36793.297620366626,50141.88317488155,32.153451687888719,1492.4870551620704,1024.4740362225546
8.5499999999999989,8.5121812212544317,11.68355327868913,36784.346000728736,50137.381350811185,32.149506925145083,1492.4677406217531,1024.4733547490641
8.85,8.8108275605929958,11.677729864649814,36777.559909081319,50136.090816961558,32.147831388971952,1492.4504782482081,1024.4744697666379
9.1499999999999986,9.10947299667276,11.66005332728664,36763.12047729599,50140.571467653368,32.148983784234517,1492.3954710484304,1024.4799414321294
9.45,9.4081159570628579,11.65046267848243,36766.353903001829,50158.103358115906,32.16031872631644,1492.3807003883226,1024.4918448262772
9.75,9.7067561271647911,11.643956277147057,36767.420741756687,50168.464976428637,32.16687507686548,1492.3709083906454,1024.4994751655263
10.049999999999999,10.005395769740177,11.637985674626535,36754.204077315306,50158.603701252687,32.159068516818245,1492.345771788157,1024.495853802775
10.35,10.304035562733692,11.632746153254542,36750.5506018646,50160.791178631836,32.15993299390481,1492.3335553335749,1024.4988327252581
10.649999999999999,10.602674169205388,11.616959104145108,36738.363058416253,50165.7755821911,32.161639476801589,1492.2857083298356,1024.5043842761841
10.95,10.901311586592858,11.608839191735452,36731.475008019028,50167.494816813611,32.161853465270248,1492.262695062693,1024.5073808264276
11.25,11.199947038567652,11.605136097587383,36740.005346445956,50184.221755792714,32.173250345113779,1492.2684227645011,1024.5182591153198
11.549999999999999,11.498581145248178,11.60309470804734,36734.369590157672,50179.322108085944,32.169409234101359,1492.2616685651285,1024.5170008740304
11.85,11.797215112334088,11.604574203491211,36737.826171875,50182.015460203162,32.17136738041237,1492.2740973068226,1024.5196065265629
12.149999999999999,12.095848381461639,11.604433089538533,36739.405728839993,50184.366520540418,32.172904057890577,1492.2803894548483,1024.5221794345134
12.45,12.394482555031821,11.606494665145874,36728.984375,50167.305980775527,32.160841696055627,1492.2780435870263,1024.5137904288231
12.75,12.693118256250429,11.611225896628135,36730.422521330409,50162.786989213135,32.158013222685838,1492.296036332584,1024.512087299265
13.049999999999999,12.991752738959226,11.599697145258464,36729.537720593944,50177.379302921778,32.167031148714074,1492.2717192597706,1024.5225406665306
13.35,13.290384858729754,11.595688343048096,36731.46875,50185.514213695205,32.172267613205086,1492.2690016753438,1024.5286899453388
13.649999999999999,13.589016288764247,11.598902862640024,36732.085978467396,50181.949601504755,32.169954257791915,1492.2823439446643,1024.5276628572617
13.95,13.887647301996807,11.601575836120542,36739.101905979376,50187.869055795018,32.17434335548139,1492.3018336979519,1024.5319394419853
14.249999999999998,14.186277453730838,11.592340746728771,36729.666104119722,50187.642214994448,32.173045183315594,1492.2731218007152,1024.5339636549179
14.549999999999999,14.484907218442103,11.580269957443516,36715.699625956549,50185.112997622207,32.169793223913452,1492.2322009374163,1024.5349846232396
